Pathway,Count
Blastodisc,7
Blastomere,42
Blood clot,63
Blood plasma,176
Blood vessel endothelium,124
Blood vessel wall,30
Bloodstream form,36
Bm,7
BmN cell,6
Body wall muscle,11
Bone marrow stem cell,13
Bone marrow stromal cell line,9
Bone marrow-derived macrophage,9
Bone matrix,44
Bpe,6
Bract,9
Bradyzoite,8
Branchial arch,75
Breast cancer cell line,227
Breast invasive ductal carcinoma cell,9
Bronchial epithelial cell line,17
Bronchoalveolar lavage,100
Bronchoalveolar stem cell,7
Brown adipose tissue,13
Bt,7
Buccal gland,5
Buccal mass,6
Buccal mucosa,11
Bud,103
Bulb,23
Bulbil,6
Bulbourethral gland,8
Bundle sheath,8
Bundle sheath cell,5
Bursa of Fabricius,9
Byssus,6
C-127 cell,5
C-33A cell,5
C127I cell,5
C2C12 cell,5
C6 glioma cell,8
C6/36 cell,9
CACO-2 cell,13
CAD cell,5
CAL-27 cell,6
CCRF-CEM cell,6
CEM cell,16
CH-1 cell,6
CHO-EM9 cell,7
CHO-K1 cell,5
CHO-LY-B cell,8
CHOP cell,14
COS-1 cell,11
COS-7 cell,8
CT-26 cell,6
CV-1 cell,8
CX-1 cell,6
Caki-1 cell,5
Calcaneal bone,21
Callus,42
Calyx,10
Cambium,11
Cancellous bone,42
Cancer stem cell,78
Capillary,103
Capillary pericyte,5
Carapace,6
Carcass,26
Carcinoid cell,5
Cardia,5
Cardiac stomach,7
Cardinal vein,11
Carotid atherosclerotic plaque,5
Carotid body,14
Carotid sinus nerve,6
Caryopsis,12
Cco,17
Cecal epithelium,6
Cecum,6
Cement gland,18
Cementum,28
Cephalothorax,6
Ceratobranchial,5
Cercaria,6
Cerebellar Purkinje cell,24
Cerebellar nucleus,6
Cerebral gyrus,8
Cerebral organ,9
Cerebral subcortex,7
Cerebral white matter,34
Cerebrovascular system,6
Cervical cancer cell line,96
Cervical intraepithelial neoplasia cell,10
Cervical mucus,17
Cervical spine,34
Cestode,29
ChaGo-K-1 cell,23
Chang cell,5
Chl,8
Chlorenchyma,6
Choanomastigote,31
Cholangiocarcinoma cell,5
Chondroblast,16
Chondrocyte cell line,11
Chorioallantois,21
Choriocarcinoma cell line,6
Chorionic epithelium,5
Chorionic villus,21
Choroid,28
Choroid plexus,11
Choroid plexus papilloma cell,5
Chromaffin cell,7
Chronic lymphocytic leukemia cell,38
Ciliary body,17
Ciliary epithelium,7
Citrullinemia,8
Cladode,6
Claw,16
Clonei,8
Cob,32
Cochlear ganglion,13
Cochlear hair cell,37
Colo-201 cell,6
Colon sigmoideum,5
Colonic neoplasm cell,7
Colonocyte,10
Colorectal cancer cell,68
Colorectal mucosa,5
Colorectum,39
Columnar cell,19
Common cardinal vein,6
Companion cell,6
Compound eye,11
Conceptus,34
Conjunctiva,49
Corn silk,12
Corona,6
Corpus allatum,14
Corpus amylaceum,9
Corpus cardiacum,16
