Pathway,Count
transforming growth factor-beta human fibroblasts GDS4574 ligand:18,238
All-trans-retinoic acid human NB4 APL cells (TG2-knockdown) GDS4180 ligand:196,363
estradiol human estrogen receptor (ER)-positive MCF7 breast cancer cells GDS3217 ligand:40,292
interleukin-2 mouse Cytotoxic T cell line GDS3222 ligand:210,200
estrogen mouse right lung from ovariectomized animals GDS960 ligand:50,384
interleukin-17 human Bronchial epithelial cells GDS3393 ligand:199,322
estradiol mouse uterus GSE23072 ligand:75,206
interleukin-15 human PBMC GSE59184 ligand:145,289
interleukin-15 human PBMC GSE59184 ligand:144,279
All-trans-retinoic acid human NB4 APL cells GDS4180 ligand:190,340
testosterone mouse brain striatum GSE49986 ligand:284,314
testosterone mouse brain striatum GSE49986 ligand:285,331
17beta-estradiol mouse bone marrow-derived CD44+ stromal cells (StroCs) GDS3816 ligand:29,147
estradiol human endometrial cancer cells GSE56946 ligand:224,299
17beta-estradiol mouse thymus GSE2889 ligand:156,247
estradiol human MCF-7 cells GDS4052 ligand:269,290
CHEBI:60311 human Kidney GDS3945 ligand:170,278
testosterone mouse liver GSE13388 ligand:158,313
estradiol human MCF-7 breast cancer cells GDS3105 ligand:38,371
insulin-like growth factor I (IGF-1) human MCF-7 cells GSE26834 ligand:138,257
interferon-&Icirc;&plusmn; human hepatocyte GDS4390 ligand:181,277
estradiol human endometrial cancer cells GSE56946 ligand:218,293
estradiol human endometrial cancer cells GSE56946 ligand:219,231
17beta-estradiol human MCF-7 cells GSE8597 ligand:259,203
Interleukin 17C human keratinocyte GDS4807 ligand:174,314
estradiol human endometrial cancer cells GSE56946 ligand:220,369
TGF-beta human A549 epithelial cells GDS3710 ligand:247,269
estradiol human endometrial cancer cells GSE56946 ligand:217,236
Interleukin 17C human keratinocyte GDS4807 ligand:172,285
Interleukin-15 mouse CD8+ T cells GDS1030 ligand:229,304
estradiol human MCF-7 cells GDS4052 ligand:264,290
leptin mouse liver GDS3653 ligand:277,277
Interleukin 1&Icirc;&sup2; rat insulinoma cell line GDS4332 ligand:188,282
interleukin-10 human PBMC GSE59184 ligand:142,276
interleukin-10 human PBMC GSE59184 ligand:143,302
Interleukin 1&Icirc;&sup2; rat insulinoma cell line GDS4332 ligand:184,293
interleukin-2 mouse Cytotoxic T cell line GDS3222 ligand:211,245
Interleukin 1&Icirc;&sup2; rat insulinoma cell line GDS4332 ligand:182,275
interleukin-2 mouse Cytotoxic T cell line GDS3222 ligand:213,195
interleukin-2 mouse Cytotoxic T cell line GDS3222 ligand:212,225
insulin human human embryonic stem cells (hESCs) GSE71949 ligand:286,255
TGF-beta mouse embryonic fibroblasts GDS4898 ligand:244,439
interleukin-33 mouse CD8 T cells GSE72791 ligand:237,465
estradiol mouse urogenital sinus mesenchymal cells GSE16854 ligand:152,283
estradiol mouse mammary cells GSE46116 ligand:117,210
progesterone mouse uterus GSE31406 ligand:162,282
estradiol human endothelial cells GSE29881 ligand:129,337
Insulin mouse Kidney GDS4839 ligand:164,256
3beta-Adiol(17beta-diol) human MCF7cells GSE33287 ligand:80,260
progesterone mouse uterus GSE31406 ligand:161,279
transforming growth factor-beta human Hepatocellular carcinoma Huh-7 cell line GDS4269 ligand:17,302
testosterone human MCF-7aro cells GSE10911 ligand:160,296
17beta-estradiol mouse cervical tissue GSE46890 ligand:118,198
17beta-estradiol mouse cervical tissue GSE46890 ligand:119,252
Thyroid hormone human Endometrial cells GDS4987 ligand:168,378
TGF-beta human A549 epithelial cells GDS3710 ligand:250,210
TGF-beta human A549 epithelial cells GDS3710 ligand:251,221
TGF-beta human A549 epithelial cells GDS3710 ligand:252,270
TGF-beta human A549 epithelial cells GDS3710 ligand:253,303
TGF-beta human HMEC-TR mammary epithelial cell line GDS4071 ligand:245,303
17beta-estradiol human U2OS osteosarcoma cell line GDS1094 ligand:44,279
Interleukin 1&Icirc;&sup2; rat insulinoma cell line GDS4332 ligand:191,277
Interleukin-1 beta mouse embryonic fibroblasts from IRAK-4 kinase deficient mutants GDS2641 ligand:60,249
All-trans-retinoic acid human NB4 APL cells GDS4180 ligand:187,348
17beta-estradiol human MCF-7 cells GSE5840 ligand:85,324
17beta-estradiol human MCF-7 cells GSE5840 ligand:84,247
17beta-estradiol human MCF-7 cells GSE5840 ligand:83,288
TNFSF11 (RANKL) human monocyte-derived macrophage GSE72292 ligand:239,284
interleukin-4 human keratinocyte GDS4601 ligand:178,297
17beta-estradiol mouse uterus GDS1058 ligand:32,220
interleukin-2 mouse Cytotoxic T cell line GDS3222 ligand:215,200
Interleukin-6 mouse macrophage (SOCS3 KO) GSE411 ligand:234,335
Interleukin-6 mouse macrophage (SOCS3 KO) GSE411 ligand:233,284
retinoic acid mouse CD4+ T cells pooled from spleen and mesenteric/peripheral lymph nodes GDS3840 ligand:73,197
Interleukin-6 (IL-6) mouse liver GDS3773 ligand:61,235
Interleukin-1 beta mouse embryonic fibroblasts GDS2641 ligand:57,392
estradiol human estrogen receptor (ER)-positive MCF7 breast cancer cells GDS3217 ligand:41,324
calcitriol human RWPE1 prostate epithelial cell line GDS3761 ligand:201,324
progesterone rat ovary GDS2783 ligand:275,168
Interleukin-1 beta human epidermal keratinocytes GDS2611 ligand:56,371
morphogenetic protein 4 (BMP-4) mouse C3H10T1/2 (10T1/2) stem cells committed to the adipocyte lineage GDS3025 ligand:8,356
3beta-Adiol(17beta-diol) human MCF7cells GSE33287 ligand:79,289
testosterone mouse prostate (following castration) GDS2562 ligand:54,322
TGF-beta human prostate fibroblasts GSE68164 ligand:240,352
Growth hormone mouse Adipocytes GDS1489 ligand:171,368
estradiol human MCF-7 cells GSE26834 ligand:135,290
estradiol human MCF-7 cells GSE26834 ligand:137,268
testosterone mouse liver GSE13388 ligand:159,365
norepinephrine rat pineal organ GDS3702 ligand:132,296
calcium(2+) mouse blastocyst GDS3293 ligand:281,223
leptin mouse gallbladder GDS1509 ligand:278,353
17beta-estradiol mouse uterus GDS1058 ligand:33,266
estradiol human MCF-7 breast cancer cells GDS3283 ligand:42,296
17beta-estradiol mouse uterus GDS1058 ligand:31,329
17beta-estradiol mouse uterus GDS1058 ligand:36,293
Interleukin 1&Icirc;&sup2; rat insulinoma cell line (Pdx1 overexpression) GDS4332 ligand:194,274
17beta-estradiol mouse uterus GDS1058 ligand:34,272
17beta-estradiol mouse uterus GDS1058 ligand:35,234
