Pathway,Count
Mesenchymal Progenitor cell:Bone Marrow,96
Endothelial cell:Lung,10
Basal cell:Undefined,100
Mesenchymal Stromal cell:Tonsil,9
Mesenchymal Stromal cell:Bone Marrow,16
Mesenchymal Stem cell:Amniotic Membrane,5
Granulocyte:Blood,93
Classical monocyte:Blood,100
Intermediate monocyte:Blood,100
Non-classical monocyte:Blood,100
Hepatocyte:Liver,13
Myoepithelial cell:Undefined,100
Gastric Stem cell:Gastric Gland,100
Side-population cell:Undefined,103
Germinal Center B cell:Tonsil,99
Endometrial Progenitor cell:Endometrium,100
Cancer Stem cell:Peripheral Blood,100
Cancer Stem cell:Bone Marrow,94
Retinal Progenitor cell:Retina,97
Vaginal cell:Vagina,99
Muscle Satellite cell:Muscle,102
Endothelial cell:Muscle,7
Inflammatory cell:Muscle,96
Macrophage:Bone Marrow,8
Lymphocyte:Bone Marrow,6
Epithelial cell:Bone Marrow,102
Spermatogonium:Testis,7
Platelet:Liver,92
Vascular Stem cell:Blood,100
Vascular Progenitor cell:Blood,100
Keratinocyte Progenitor cell:Skin,100
Adipose-derived Stem cell:Abdominal Adipose Tissue,10
Adipose Progenitor cell:Adipose Tissue,96
Endothelial Progenitor cell:Umbilical Cord Blood,99
Cancer Stem cell:Venous Blood,96
Myoepithelial cell:Parotid Gland,100
Epithelial cell:Endometrium,98
Trophoblast cell:Placenta,97
Endothelial cell:Antecubital Vein,5
Intestinal Stem cell:Intestinal Crypt,103
Endometrial Stromal Stem cell:Endometrium Stroma,99
Induced Regulatory T (Treg) cell:Peripheral Blood,103
Cancer Stem cell:Eye,100
Corneal Limbal Stem cell:Limbal Epithelium,100
Mesenchymal Progenitor cell:Muscle,97
Mesenchymal Progenitor cell:Bone,96
Mesenchymal Progenitor cell:Adipose Tissue,96
Mesenchymal Progenitor cell:Cartilage,96
Mesenchymal Stem cell:Umbilical Cord Blood,99
Epidermal Transit Amplifying cell:Foreskin,93
Submandibular Gland Stem cell:Submandibular Gland,100
Serous Acinar cell:Salivary Gland,97
Mucous Acinar cell:Salivary Gland,99
Lymphoid cell:Blood,101
Multipotent Progenitor cell:Heart,99
Macrophage:Retinal Pigment Epithelium,99
EBV+ B Lymphoma cell:Lymph,99
EBV+ B Lymphoma cell:Kidney,99
EBV+ B Lymphoma cell:Liver,99
Liver Stem cell:Liver,5
Premeiotic Germ cell:Testis,84
